"No.","External ID","Name","Name 2","Address","Address 2","County","Post Code","City","Country/Region Code","Phone No.","Telex No.","Fax No.","Telex Answer Back","Territory Code","Currency Code","Language Code","Salesperson Code","VAT Registration No.","Email","Home Page","Type","Company Name","Company No.","First Name","Middle Name","Surname","Job Title","Initials","Extension No.","Mobile Phone No.","Pager","Organizational Level Code","Exclude from Segment","Correspondence Type","Salutation Code"
"CT000104","","Mr. John Kane","","120 Wellington Rd.","","","CA-ON N6B 1V7","London","CA","","","","","FOREIGN","","ENC","JR","","mr.john.kane@contoso.com","","Person","London Candoxy Storage Campus","CT000103","Mr.","John","Kane","","","","","","","No"," ","UNISEX"
"CT000105","","Metatorad Malaysia Sdn Bhd","","No 16M Jalan SS22","Damansara Utama","","MY-47400","PETALING JAYA, Selangor","MY","","","","","FOREIGN","MYR","ENU","JR","","metatorad.malaysia.sdn.bhd@contoso.com","","Company","Metatorad Malaysia Sdn Bhd","CT000105","","","","","","","","","","No"," ","COMPANY"
"CT000106","","Mrs. Azleen Samat","","No 16M Jalan SS22","Damansara Utama","","MY-47400","PETALING JAYA, Selangor","MY","","","","","FOREIGN","","ENU","JR","","mrs.azleen.samat@contoso.com","","Person","Metatorad Malaysia Sdn Bhd","CT000105","Mrs.","Azleen","Samat","","","","","","","No"," ","UNISEX"
"CT000107","","Highlights Electronics Sdn Bhd","","28 Ground Floor, 1 Jalan 3/26","Bandar Baru Sri Petalang","","MY-57000","KUALA LUMPUR","MY","","","","","FOREIGN","MYR","ENU","JR","","highlights.electronics.sdn.bhd@contoso.com","","Company","Highlights Electronics Sdn Bhd","CT000107","","","","","","","","","","No"," ","COMPANY"
"CT000108","","Mr. Mark Darrell Boland","","28 Ground Floor, 1 Jalan 3/26","Bandar Baru Sri Petalang","","MY-57000","KUALA LUMPUR","MY","","","","","FOREIGN","","ENU","JR","","mr.mark.darrell.boland@contoso.com","","Person","Highlights Electronics Sdn Bhd","CT000107","Mr. Mark","Darrell","Boland","","","","","","","No"," ","UNISEX"
"CT000109","","TraxTonic Sdn Bhd","","Sama Jaya Free Industrial Zone","","","MY-93450","KUCHING, Sarawak","MY","","","","","FOREIGN","MYR","ENU","JR","","traxtonic.sdn.bhd@contoso.com","","Company","TraxTonic Sdn Bhd","CT000109","","","","","","","","","","No"," ","COMPANY"
"CT000110","","Mrs. Rubina Usman","","Sama Jaya Free Industrial Zone","","","MY-93450","KUCHING, Sarawak","MY","","","","","FOREIGN","","ENU","JR","","mrs.rubina.usman@contoso.com","","Person","TraxTonic Sdn Bhd","CT000109","Mrs.","Rubina","Usman","","","","","","","No"," ","UNISEX"
"CT000111","","Somadis","","37, Rue El Wahda","","","MA-10100","AGDAL-RABAT","MA","","","","","FOREIGN","MAD","","JR","","somadis@contoso.com","","Company","Somadis","CT000111","","","","","","","","","","No"," ","COMPANY"
"CT000112","","M. Syed ABBAS","","37, Rue El Wahda","","","MA-10100","AGDAL-RABAT","MA","","","","","FOREIGN","","","JR","","m.syed.abbas@contoso.com","","Person","Somadis","CT000111","M.","Syed","ABBAS","","","","","","","No"," ","UNISEX"
"CT000113","","Maronegoce","","21, Boulevard de la Nation","","","MA-20200","CASABLANCA","MA","","","","","FOREIGN","MAD","","JR","","maronegoce@contoso.com","","Company","Maronegoce","CT000113","","","","","","","","","","No"," ","COMPANY"
"CT000114","","Mme. Fadoua AIT MOUSSA","","21, Boulevard de la Nation","","","MA-20200","CASABLANCA","MA","","","","","FOREIGN","","","JR","","mme.fadoua.ait.moussa@contoso.com","","Person","Maronegoce","CT000113","Mme. Fadoua","AIT","MOUSSA","","","","","","","No"," ","UNISEX"
"CT000115","","ElectroMAROC","","11, Avenue des FAR","","","MA-12000","TEMARA","MA","","","","","FOREIGN","MAD","","JR","","electromaroc@contoso.com","","Company","ElectroMAROC","CT000115","","","","","","","","","","No"," ","COMPANY"
"CT000116","","Zanlan Corp.","","2 Beta Street","","","ZA-2500","Carletonville","ZA","","","","","FOREIGN","ZAR","ENU","JR","","zanlan.corp@contoso.com","","Company","Zanlan Corp.","CT000116","","","","","","","","","","No"," ","COMPANY"
"CT000117","","Mr. Derik Stenerson","","2 Beta Street","","","ZA-2500","Carletonville","ZA","","","","","FOREIGN","","ENU","JR","","mr.derik.stenerson@contoso.com","","Person","Zanlan Corp.","CT000116","Mr.","Derik","Stenerson","","","","","","","No"," ","UNISEX"
"CT000118","","Karoo Supermarkets","","38 Voortrekker Street","","","ZA-9300","Bloemfontein","ZA","","","","","FOREIGN","ZAR","ENU","JR","","karoo.supermarkets@contoso.com","","Company","Karoo Supermarkets","CT000118","","","","","","","","","","No"," ","COMPANY"
"CT000119","","Mr. Pieter Wycoff","","38 Voortrekker Street","","","ZA-9300","Bloemfontein","ZA","","","","","FOREIGN","","ENU","JR","","mr.pieter.wycoff@contoso.com","","Person","Karoo Supermarkets","CT000118","Mr.","Pieter","Wycoff","","","","","","","No"," ","UNISEX"
"CT000120","","Durbandit Fruit Exporters","","100 St. George's Mall","Westmead","","ZA-3600","Durban","ZA","","","","","FOREIGN","ZAR","ENU","JR","","durbandit.fruit.exporters@contoso.com","","Company","Durbandit Fruit Exporters","CT000120","","","","","","","","","","No"," ","COMPANY"
"CT000121","","Mr. Eric Lang","","100 St. George's Mall","Westmead","","ZA-3600","Durban","ZA","","","","","FOREIGN","","ENU","JR","","mr.eric.lang@contoso.com","","Person","Durbandit Fruit Exporters","CT000120","Mr.","Eric","Lang","","","","","","","No"," ","UNISEX"
"CT000122","","Francematic","","19 Boulevard Commanderie","","","FR-78370","PLAISIR","FR","","","","","FOREIGN","EUR","FRA","JR","","francematic@contoso.com","","Company","Francematic","CT000122","","","","","","","","","","No"," ","COMPANY"
"CT000123","","M. Herve BOURAIMA","","19 Boulevard Commanderie","","","FR-78370","PLAISIR","FR","","","","","FOREIGN","","FRA","JR","","m.herve.bouraima@contoso.com","","Person","Francematic","CT000122","M.","Herve","BOURAIMA","","","","","","","No"," ","UNISEX"
"CT000124","","Parmentier Boutique","","34 Avenue Parmentier","","","FR-75000","PARIS","FR","","","","","FOREIGN","EUR","FRA","JR","","parmentier.boutique@contoso.com","","Company","Parmentier Boutique","CT000124","","","","","","","","","","No"," ","COMPANY"
"CT000125","","M. Jean E. TRENARY","","34 Avenue Parmentier","","","FR-75000","PARIS","FR","","","","","FOREIGN","","FRA","JR","","m.jean.e.trenary@contoso.com","","Person","Parmentier Boutique","CT000124","M. Jean","E.","TRENARY","","","","","","","No"," ","UNISEX"
"CT000126","","Livre Importants","","46 Rue Orteaux","","","FR-77450","ESBLY","FR","","","","","FOREIGN","EUR","FRA","JR","","livre.importants@contoso.com","","Company","Livre Importants","CT000126","","","","","","","","","","No"," ","COMPANY"
"CT000127","","M. Lionel PENUCHOT","","46 Rue Orteaux","","","FR-77450","ESBLY","FR","","","","","FOREIGN","","FRA","JR","","m.lionel.penuchot@contoso.com","","Person","Livre Importants","CT000126","M.","Lionel","PENUCHOT","","","","","","","No"," ","UNISEX"
"CT000128","","London Postmaster","","10 North Lake Avenue","","","N12 5XY","London","GB","","","","","LND","","ENG","RL","895741963","london.postmaster@contoso.com","","Company","London Postmaster","CT000128","","","","","","","","","","No"," ","COMPANY"
"CT000129","","Mrs. Carol Philips","","10 North Lake Avenue","","","N12 5XY","London","GB","","","","","LND","","ENG","RL","","mrs.carol.philips@contoso.com","","Person","London Postmaster","CT000128","Mrs.","Carol","Philips","","","","","","","No"," ","COMPANY"
"CT000130","","AR Day Property Management","","100 Day Drive","","","GU3 2SE","Guildford","GB","","","","","S","","ENG","RL","274863274","ar.day.property.management@contoso.com","","Company","AR Day Property Management","CT000130","","","","","","","","","","No"," ","COMPANY"
"CT000131","","Mr. Frank Lee","","100 Day Drive","","","GU3 2SE","Guildford","GB","","","","","S","","ENG","RL","","mr.frank.lee@contoso.com","","Person","AR Day Property Management","CT000130","Mr.","Frank","Lee","","","","","","","No"," ","COMPANY"
"CT000132","","CoolWood Technologies","","33 Hitech Drive","","","PO7 2HI","Portsmouth","GB","","","","","S","","ENG","RL","697528465","coolwood.technologies@contoso.com","","Company","CoolWood Technologies","CT000132","","","","","","","","","","No"," ","COMPANY"
"CT000133","","Mr. Richard Bready","","33 Hitech Drive","","","PO7 2HI","Portsmouth","GB","","","","","S","","ENG","RL","","mr.richard.bready@contoso.com","","Person","CoolWood Technologies","CT000132","Mr.","Richard","Bready","","","","","","","No"," ","COMPANY"
"CT000134","","Lewis Home Furniture","","51 Radcroft Road","","","IB7 7VN","Gainsborough","GB","","","","","NE","","ENG","RL","197548769","lewis.home.furniture@contoso.com","","Company","Lewis Home Furniture","CT000134","","","","","","","","","","No"," ","COMPANY"
"CT000135","","Mrs. Julia Collins","","51 Radcroft Road","","","IB7 7VN","Gainsborough","GB","","","","","NE","","ENG","RL","","mrs.julia.collins@contoso.com","","Person","Lewis Home Furniture","CT000134","Mrs.","Julia","Collins","","","","","","","No"," ","COMPANY"
"CT000136","","Service Electronics Ltd.","","172 Field Green","","","WD2 4RG","Watford","GB","","","","","LND","","ENG","RL","295267495","service.electronics.ltd@contoso.com","","Company","Service Electronics Ltd.","CT000136","","","","","","","","","","No"," ","COMPANY"
"CT000137","","Mr. Marc Zimmerman","","172 Field Green","","","WD2 4RG","Watford","GB","","","","","LND","","ENG","RL","","mr.marc.zimmerman@contoso.com","","Person","Service Electronics Ltd.","CT000136","Mr.","Marc","Zimmerman","","","","","","","No"," ","COMPANY"
"CT000138","","Progressive Home Furnishings","","222 Reagan Drive","","","US-SC 27136","Columbia","US","","","","","FOREIGN","USD","ENU","RL","","progressive.home.furnishings@contoso.com","","Company","Progressive Home Furnishings","CT000138","","","","","","","","","","No"," ","COMPANY"
"CT000139","","Mr. Michael Sean Ray","","222 Reagan Drive","","","US-SC 27136","Columbia","US","","","","","FOREIGN","","ENU","RL","","mr.michael.sean.ray@contoso.com","","Person","Progressive Home Furnishings","CT000138","Mr. Michael","Sean","Ray","","","","","","","No"," ","COMPANY"
"CT000140","","Custom Metals Incorporated","","640 Nixon Blvd.","","","US-AL 35242","Birmingham","US","","","","","FOREIGN","USD","ENU","RL","","custom.metals.incorporated@contoso.com","","Company","Custom Metals Incorporated","CT000140","","","","","","","","","","No"," ","COMPANY"
"CT000141","","Mr. Peter Houston","","640 Nixon Blvd.","","","US-AL 35242","Birmingham","US","","","","","FOREIGN","","ENU","RL","","mr.peter.houston@contoso.com","","Person","Custom Metals Incorporated","CT000140","Mr.","Peter","Houston","","","","","","","No"," ","COMPANY"
"CT000142","","American Wood Exports","","723 North Hampton Drive","","","US-NY 11010","New York","US","","","","","FOREIGN","USD","ENU","RL","503912693","american.wood.exports@contoso.com","","Company","American Wood Exports","CT000142","","","","","","","","","","No"," ","COMPANY"
"CT000143","","Mr. Jeff D. Henshaw","","723 North Hampton Drive","","","US-NY 11010","New York","US","","","","","FOREIGN","","ENU","RL","","mr.jeff.d.henshaw@contoso.com","","Person","American Wood Exports","CT000142","Mr. Jeff","D.","Henshaw","","","","","","","No"," ","COMPANY"
"CT000144","","Houtindustrie Bruynsma","","Havenweg 92","","","NL-1530 JM","Zaandam","NL","","","","","FOREIGN","EUR","NLD","RL","456789123B56","houtindustrie.bruynsma@contoso.com","","Company","Houtindustrie Bruynsma","CT000144","","","","","","","","","","No"," ","COMPANY"
"CT000145","","Lieve Casteels","","Havenweg 92","","","NL-1530 JM","Zaandam","NL","","","","","FOREIGN","","NLD","RL","","lieve.casteels@contoso.com","","Person","Houtindustrie Bruynsma","CT000144","Lieve","","Casteels","","","","","","","No"," ","COMPANY"
"CT000146","","Koekamp Leerindustrie","","Looiersdreef 19-27","","","NL-5132 EE","Waalwijk","NL","","","","","FOREIGN","EUR","NLD","RL","789455789B30","koekamp.leerindustrie@contoso.com","","Company","Koekamp Leerindustrie","CT000146","","","","","","","","","","No"," ","COMPANY"
"CT000147","","Anita Langers","","Looiersdreef 19-27","","","NL-5132 EE","Waalwijk","NL","","","","","FOREIGN","","NLD","RL","","anita.langers@contoso.com","","Person","Koekamp Leerindustrie","CT000146","Anita","","Langers","","","","","","","No"," ","COMPANY"
"CT000148","","Beekhuysen BV","","Mergelland 4","","","NL-7321 HE","Apeldoorn","NL","","","","","FOREIGN","EUR","NLD","RL","453218925B23","beekhuysen.bv@contoso.com","","Company","Beekhuysen BV","CT000148","","","","","","","","","","No"," ","COMPANY"
"CT000149","","Alex Roland","","Mergelland 4","","","NL-7321 HE","Apeldoorn","NL","","","","","FOREIGN","","NLD","RL","","alex.roland@contoso.com","","Person","Beekhuysen BV","CT000148","Alex","","Roland","","","","","","","No"," ","COMPANY"
"CT000150","","Groene Kater BVBA","","Stationstraat 12","","","BE-1851","Humbeek","BE","","","","","FOREIGN","EUR","NLB","RL","123123789","groene.kater.bvba@contoso.com","","Company","Groene Kater BVBA","CT000150","","","","","","","","","","No"," ","COMPANY"
"CT000151","","Roger Van Houten","","Stationstraat 12","","","BE-1851","Humbeek","BE","","","","","FOREIGN","","NLB","RL","","roger.van.houten@contoso.com","","Person","Groene Kater BVBA","CT000150","Roger","Van","Houten","","","","","","","No"," ","COMPANY"
"CT000152","","PURE-LOOK","","Parklaan 3","","","BE-2800","Mechelen","BE","","","","","FOREIGN","EUR","NLB","RL","654654789","pure-look@contoso.com","","Company","PURE-LOOK","CT000152","","","","","","","","","","No"," ","COMPANY"
"CT000153","","Rob Caron","","Parklaan 3","","","BE-2800","Mechelen","BE","","","","","FOREIGN","","NLB","RL","","rob.caron@contoso.com","","Person","PURE-LOOK","CT000152","Rob","","Caron","","","","","","","No"," ","COMPANY"
"CT000154","","Overschrijd de Grens SA","","Boomgaardstraat 55","","","BE-8500","Kortrijk","BE","","","","","FOREIGN","EUR","NLB","RL","321321654","overschrijd.de.grens.sa@contoso.com","","Company","Overschrijd de Grens SA","CT000154","","","","","","","","","","No"," ","COMPANY"
"CT000155","","Tom Vande Velde","","Boomgaardstraat 55","","","BE-8500","Kortrijk","BE","","","","","FOREIGN","","NLB","RL","","tom.vande.velde@contoso.com","","Person","Overschrijd de Grens SA","CT000154","Tom","Vande","Velde","","","","","","","No"," ","COMPANY"
"CT000156","","Subacqua","","c/ Neptuno 18","","","ES-37001","Salamanca","ES","","","","","FOREIGN","EUR","ESP","RL","37030758T","subacqua@contoso.com","","Company","Subacqua","CT000156","","","","","","","","","","No"," ","COMPANY"
"CT000157","","Srta. Pilar Pinilla Gallego","","c/ Neptuno 18","","","ES-37001","Salamanca","ES","","","","","FOREIGN","","ESP","RL","","srta.pilar.pinilla.gallego@contoso.com","","Person","Subacqua","CT000156","Srta. Pilar","Pinilla","Gallego","","","","","","","No"," ","COMPANY"
"CT000158","","Transporte Roas","","Pol. Ind. 4","","","ES-07001","Palma Mallorca","ES","","","","","FOREIGN","EUR","ESP","RL","07472486T","transporte.roas@contoso.com","","Company","Transporte Roas","CT000158","","","","","","","","","","No"," ","COMPANY"
"CT000159","","Sr. Fabricio Noriega","","Pol. Ind. 4","","","ES-07001","Palma Mallorca","ES","","","","","FOREIGN","","ESP","RL","","sr.fabricio.noriega@contoso.com","","Person","Transporte Roas","CT000158","Sr.","Fabricio","Noriega","","","","","","","No"," ","COMPANY"
"CT000160","","Importaciones S.A.","","Av. Palmeras 5","","","ES-03003","Alicante","ES","","","","","FOREIGN","EUR","ESP","RL","03121299T","importaciones.sa@contoso.com","","Company","Importaciones S.A.","CT000160","","","","","","","","","","No"," ","COMPANY"
"CT000161","","Sr. Tomas Navarro","","Av. Palmeras 5","","","ES-03003","Alicante","ES","","","","","FOREIGN","","ESP","RL","","sr.tomas.navarro@contoso.com","","Person","Importaciones S.A.","CT000160","Sr.","Tomas","Navarro","","","","","","","No"," ","COMPANY"
"CT000162","","Husplast HF","","Dalvegi 24","","","IS-112","Reykjavik","IS","","","","","FOREIGN","ISK","ISL","RL","","husplast.hf@contoso.com","","Company","Husplast HF","CT000162","","","","","","","","","","No"," ","COMPANY"
"CT000163","","Vilhjalmur Arnason","","Dalvegi 24","","","IS-112","Reykjavik","IS","","","","","FOREIGN","","ISL","RL","","vilhjalmur.arnason@contoso.com","","Person","Husplast HF","CT000162","Vilhjalmur","","Arnason","","","","","","","No"," ","COMPANY"
"CT000164","","Hurdir HF","","Skeifunni 13","","","IS-108","Reykjavik","IS","","","","","FOREIGN","ISK","ISL","RL","","hurdir.hf@contoso.com","","Company","Hurdir HF","CT000164","","","","","","","","","","No"," ","COMPANY"
"CT000165","","Anna Lisa Sigmundsdottir","","Skeifunni 13","","","IS-108","Reykjavik","IS","","","","","FOREIGN","","ISL","RL","","anna.lisa.sigmundsdottir@contoso.com","","Person","Hurdir HF","CT000164","Anna","Lisa","Sigmundsdottir","","","","","","","No"," ","COMPANY"
"CT000166","","Huslagnir","","Rangarseli 20","","","IS-101","Reykjavik","IS","","","","","FOREIGN","ISK","ISL","RL","","huslagnir@contoso.com","","Company","Huslagnir","CT000166","","","","","","","","","","No"," ","COMPANY"
"CT000167","","Gudmundur Axel Hansen","","Rangarseli 20","","","IS-101","Reykjavik","IS","","","","","FOREIGN","","ISL","RL","","gudmundur.axel.hansen@contoso.com","","Person","Huslagnir","CT000166","Gudmundur","Axel","Hansen","","","","","","","No"," ","COMPANY"
"CT000168","","IVERKA POHISTVO d.o.o.","","Industrijska c.15","","","SI-4502","Kranj","SI","","","","","FOREIGN","EUR","SLV","RL","","iverka.pohistvo.doo@contoso.com","","Company","IVERKA POHISTVO d.o.o.","CT000168","","","","","","","","","","No"," ","COMPANY"
"CT000169","","g. Lojze Dolenc","","Industrijska c.15","","","SI-4502","Kranj","SI","","","","","FOREIGN","","SLV","RL","","g.lojze.dolenc@contoso.com","","Person","IVERKA POHISTVO d.o.o.","CT000168","g.","Lojze","Dolenc","","","","","","","No"," ","COMPANY"
"CT000170","","Topol Slovenija d.o.o.","","Ferkova ulica 4","","","SI-4502","Kranj","SI","","","","","FOREIGN","EUR","SLV","RL","","topol.slovenija.doo@contoso.com","","Company","Topol Slovenija d.o.o.","CT000170","","","","","","","","","","No"," ","COMPANY"
"CT000171","","ga. Tina Gorenc","","Ferkova ulica 4","","","SI-4502","Kranj","SI","","","","","FOREIGN","","SLV","RL","","ga.tina.gorenc@contoso.com","","Person","Topol Slovenija d.o.o.","CT000170","ga.","Tina","Gorenc","","","","","","","No"," ","COMPANY"
"CT000172","","POIIORLES d.d.","","Cankarjeva 17","","","SI-6000","Koper","SI","","","","","FOREIGN","EUR","SLV","RL","","poiiorles.dd@contoso.com","","Company","POIIORLES d.d.","CT000172","","","","","","","","","","No"," ","COMPANY"
"CT000173","","ga. Borka Durovic","","Cankarjeva 17","","","SI-6000","Koper","SI","","","","","FOREIGN","","SLV","RL","","ga.borka.durovic@contoso.com","","Person","POIIORLES d.d.","CT000172","ga.","Borka","Durovic","","","","","","","No"," ","COMPANY"
"CT000174","","UP Ostrov s.p.","","Mayerova 12","","","CZ-779 00","Olomouch","CZ","","","","","FOREIGN","CZK","CSY","RL","","up.ostrov.sp@contoso.com","","Company","UP Ostrov s.p.","CT000174","","","","","","","","","","No"," ","COMPANY"
"CT000175","","Roman Miklus","","Mayerova 12","","","CZ-779 00","Olomouch","CZ","","","","","FOREIGN","","CSY","RL","","roman.miklus@contoso.com","","Person","UP Ostrov s.p.","CT000174","Roman","","Miklus","","","","","","","No"," ","COMPANY"
"CT000176","","TON s.r.o.","","Krausova 125","","","CZ-697 01","Kyjov","CZ","","","","","FOREIGN","CZK","CSY","RL","","ton.sro@contoso.com","","Company","TON s.r.o.","CT000176","","","","","","","","","","No"," ","COMPANY"
"CT000177","","Zuzana Janska","","Krausova 125","","","CZ-697 01","Kyjov","CZ","","","","","FOREIGN","","CSY","RL","","zuzana.janska@contoso.com","","Person","TON s.r.o.","CT000176","Zuzana","","Janska","","","","","","","No"," ","COMPANY"
"CT000178","","Mach & spol. v.o.s.","","T.G. Masaryka 15","","","CZ-678 01","Blansko","CZ","","","","","FOREIGN","CZK","CSY","RL","","mach.spol.vos@contoso.com","","Company","Mach & spol. v.o.s.","CT000178","","","","","","","","","","No"," ","COMPANY"
"CT000179","","Milan Cvrkal","","T.G. Masaryka 15","","","CZ-678 01","Blansko","CZ","","","","","FOREIGN","","CSY","RL","","milan.cvrkal@contoso.com","","Person","Mach & spol. v.o.s.","CT000178","Milan","","Cvrkal","","","","","","","No"," ","COMPANY"
"CT000180","","Sägewerk Mittersill","","Ortstraße 12","","","AT-5730","Mittersill","AT","","","","","FOREIGN","EUR","DEA","RL","ATU32334456","sagewerk.mittersill@contoso.com","","Company","Sägewerk Mittersill","CT000180","","","","","","","","","","No"," ","COMPANY"
"CT000181","","Hr. Christian Kemp","","Ortstraße 12","","","AT-5730","Mittersill","AT","","","","","FOREIGN","","DEA","RL","","hr.christian.kemp@contoso.com","","Person","Sägewerk Mittersill","CT000180","Hr.","Christian","Kemp","","","","","","","No"," ","COMPANY"
"CT000182","","Paul Brettschneider KG","","Am Bahndamm 68","","","AT-8850","Murau","AT","","","","","FOREIGN","EUR","DEA","RL","ATU32336677","paul.brettschneider.kg@contoso.com","","Company","Paul Brettschneider KG","CT000182","","","","","","","","","","No"," ","COMPANY"
"CT000183","","Hr. Michael L. Rothkugel","","Am Bahndamm 68","","","AT-8850","Murau","AT","","","","","FOREIGN","","DEA","RL","","hr.michael.l.rothkugel@contoso.com","","Person","Paul Brettschneider KG","CT000182","Hr. Michael","L.","Rothkugel","","","","","","","No"," ","COMPANY"
"CT000184","","Beschläge Schacherhuber","","Fabrikstraße 24","","","AT-1230","Wien","AT","","","","","FOREIGN","EUR","DEA","RL","ATU32337789","beschlage.schacherhuber@contoso.com","","Company","Beschläge Schacherhuber","CT000184","","","","","","","","","","No"," ","COMPANY"
"CT000185","","Hr. Frank Pellow","","Fabrikstraße 24","","","AT-1230","Wien","AT","","","","","FOREIGN","","DEA","RL","","hr.frank.pellow@contoso.com","","Person","Beschläge Schacherhuber","CT000184","Hr.","Frank","Pellow","","","","","","","No"," ","COMPANY"
"CT000186","","Lyselette Lamper A/S","","Nyborgvej 566","","","DK-5000","Odense C","DK","","","","","FOREIGN","DKK","DAN","RL","63524152","lyselette.lamper.as@contoso.com","","Company","Lyselette Lamper A/S","CT000186","","","","","","","","","","No"," ","COMPANY"
"CT000187","","Hr. Allan Vinther-Wahl","","Nyborgvej 566","","","DK-5000","Odense C","DK","","","","","FOREIGN","","DAN","RL","","hr.allan.vinther-wahl@contoso.com","","Person","Lyselette Lamper A/S","CT000186","Hr.","Allan","Vinther-Wahl","","","","","","","No"," ","COMPANY"
"CT000188","","Busterby Stole og Borde A/S","","Havnevej 6","","","DK-4600","Koge","DK","","","","","FOREIGN","DKK","DAN","RL","52147896","busterby.stole.og.borde.as@contoso.com","","Company","Busterby Stole og Borde A/S","CT000188","","","","","","","","","","No"," ","COMPANY"
"CT000189","","Fr. Karen Friske","","Havnevej 6","","","DK-4600","Koge","DK","","","","","FOREIGN","","DAN","RL","","fr.karen.friske@contoso.com","","Person","Busterby Stole og Borde A/S","CT000188","Fr.","Karen","Friske","","","","","","","No"," ","COMPANY"
"CT000190","","Ahornby Hvidevare A/S","","Ndr. Frihavnsgade 45","","","DK-2100","Copenhagen","DK","","","","","FOREIGN","DKK","DAN","RL","78963258","ahornby.hvidevare.as@contoso.com","","Company","Ahornby Hvidevare A/S","CT000190","","","","","","","","","","No"," ","COMPANY"
"CT000191","","Hr. Allan Benny Guinot","","Ndr. Frihavnsgade 45","","","DK-2100","Copenhagen","DK","","","","","FOREIGN","","DAN","RL","","hr.allan.benny.guinot@contoso.com","","Person","Ahornby Hvidevare A/S","CT000190","Hr. Allan","Benny","Guinot","","","","","","","No"," ","COMPANY"
"CT000192","","Kinnareds Träindustri AB","","Stordal Torslunda","","","SE-521 03","Kinnared","SE","","","","","FOREIGN","SEK","SVE","RL","666666666601","kinnareds.traindustri.ab@contoso.com","","Company","Kinnareds Träindustri AB","CT000192","","","","","","","","","","No"," ","COMPANY"
"CT000193","","Viksjö Snickerifabrik AB","","Sjöhagsgatan 7","","","SE-852 33","Sundsvall","SE","","","","","FOREIGN","SEK","SVE","RL","555555555501","viksjo.snickerifabrik.ab@contoso.com","","Company","Viksjö Snickerifabrik AB","CT000193","","","","","","","","","","No"," ","COMPANY"
"CT000194","","Svensk Möbeltextil AB","","Nyängsvägen 14","","","SE-415 06","Goteborg","SE","","","","","FOREIGN","SEK","SVE","RL","444444444401","svensk.mobeltextil.ab@contoso.com","","Company","Svensk Möbeltextil AB","CT000194","","","","","","","","","","No"," ","COMPANY"
"CT000195","","Møbelhuset AS","","Vivendelveien 17","","","NO-1400","Ski","NO","","","","","FOREIGN","NOK","NOR","RL","","mobelhuset.as@contoso.com","","Company","Møbelhuset AS","CT000195","","","","","","","","","","No"," ","COMPANY"
"CT000196","","Bjarke Rust Christensen","","Vivendelveien 17","","","NO-1400","Ski","NO","","","","","FOREIGN","","NOR","RL","","bjarke.rust.christensen@contoso.com","","Person","Møbelhuset AS","CT000195","Bjarke","Rust","Christensen","","","","","","","No"," ","COMPANY"
"CT000197","","Stilmøbler as","","Thv. Meyersgt. 34","","","NO-0552","Oslo","NO","","","","","FOREIGN","NOK","NOR","RL","","stilmobler.as@contoso.com","","Company","Stilmøbler as","CT000197","","","","","","","","","","No"," ","COMPANY"
"CT000198","","Sisser Wichmann","","Thv. Meyersgt. 34","","","NO-0552","Oslo","NO","","","","","FOREIGN","","NOR","RL","","sisser.wichmann@contoso.com","","Person","Stilmøbler as","CT000197","Sisser","","Wichmann","","","","","","","No"," ","COMPANY"
"CT000199","","Monabekken Barnesenger A/S","","Østensjøveien 27","","","NO-0661","Oslo","NO","","","","","FOREIGN","NOK","NOR","RL","","monabekken.barnesenger.as@contoso.com","","Company","Monabekken Barnesenger A/S","CT000199","","","","","","","","","","No"," ","COMPANY"
"CT000200","","Christina Philp","","Østensjøveien 27","","","NO-0661","Oslo","NO","","","","","FOREIGN","","NOR","RL","","christina.philp@contoso.com","","Person","Monabekken Barnesenger A/S","CT000199","Christina","","Philp","","","","","","","No"," ","COMPANY"
"CT000201","","VAG - Jürgensen","","Süderweg 15","","","DE-20097","Hamburg","DE","","","","","FOREIGN","EUR","DEU","RL","521478963","vag.jurgensen@contoso.com","","Company","VAG - Jürgensen","CT000201","","","","","","","","","","No"," ","COMPANY"
"CT000202","","KKA Büromaschinen Gmbh","","Immermannstraße 92","","","DE-86899","Landsberg am Lech","DE","","","","","FOREIGN","EUR","DEU","RL","456123985","kka.buromaschinen.gmbh@contoso.com","","Company","KKA Büromaschinen Gmbh","CT000202","","","","","","","","","","No"," ","COMPANY"
"CT000203","","JB-Spedition","","Grünfahrtsweg 20","","","DE-80997","Munchen","DE","","","","","FOREIGN","EUR","DEU","RL","125874259","jb-spedition@contoso.com","","Company","JB-Spedition","CT000203","","","","","","","","","","No"," ","COMPANY"
"CT000204","","Furniture Industries","","23 Charington Cresent","","","E12 5TG","Edinburgh","GB","","","","","SCOT","","ENG","RL","796385274","furniture.industries@contoso.com","","Company","Furniture Industries","CT000204","","","","","","","","","","No"," ","COMPANY"
"CT000205","","Mr. Stephen A. Mew","","23 Charington Cresent","","","E12 5TG","Edinburgh","GB","","","","","SCOT","","ENG","RL","","mr.stephen.a.mew@contoso.com","","Person","Furniture Industries","CT000204","Mr. Stephen","A.","Mew","","","","","","","No"," ","COMPANY"
"CT000206","","Boybridge Tool Mart","","8 Grovenors Park","","","N16 34Z","London","GB","","","","","LND","","ENG","RL","279425763","boybridge.tool.mart@contoso.com","","Company","Boybridge Tool Mart","CT000206","","","","","","","","","","No"," ","COMPANY"
